Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,,,,,,,,,
SENP1,40.25,31,0.770186335,-0.376720566,-0.113404191,0.036812027,,,,,,,,
GEMIN5,40.25,31,0.770186335,-0.376720566,-0.113404191,0.036912083,,,,,,,,
MYO18B,0.49,0.377777778,0.770975055,-0.37524391,-0.112959673,0.036972473,,,,,,,,
SLC4A9,0.51875,0.4,0.771084336,-0.375039432,-0.112898119,0.037077768,,,,,,,,
ZNF680,20.73529412,16,0.771631206,-0.374016604,-0.112590217,0.037610754,,,,,,,,
THNSL2,10.36666667,8,0.77170418,-0.373880173,-0.112549147,0.037788558,,,,,,,,
RNF167,114.0277778,88,0.771741778,-0.373809885,-0.112527989,0.037788561,,,,,,,,
NDUFS4,72.55555556,56,0.771822358,-0.373659256,-0.112482645,0.038326054,,,,,,,,
CDKL2,3.886111111,3,0.771979986,-0.373364649,-0.112393959,0.038415701,,,,,,,,
STOX1,9.065714286,7,0.772139931,-0.37306577,-0.112303988,0.038918066,,,,,,,,
SPOCK2,18.11944444,14,0.772650621,-0.372111893,-0.112016842,0.039043748,,,,,,,,
SLAMF7,0.129411765,0.1,0.772727267,-0.371968787,-0.111973763,0.039106603,,,,,,,,
CEP97,33.64705882,26,0.772727273,-0.371968776,-0.111973759,0.039436739,,,,,,,,
RFFL,7.763888889,6,0.772808587,-0.371816969,-0.111928061,0.039742645,,,,,,,,
ESRP1,94.43235294,73,0.773040147,-0.371384752,-0.111797951,0.039767127,,,,,,,,
KLHL17,28.45714286,22,0.773092369,-0.371287295,-0.111768613,0.040050516,,,,,,,,
SETDB1,43.31428571,33.5,0.773416887,-0.370681829,-0.11158635,0.040091752,,,,,,,,
USP44,3.877777778,3,0.773638968,-0.370267628,-0.111461663,0.040364073,,,,,,,,
RBMS3,2.582857143,2,0.774336283,-0.368967849,-0.111070391,0.04053901,,,,,,,,
PCID2,61.34285714,47.5,0.774336283,-0.368967849,-0.11107039,0.040764466,,,,,,,,
ZNF322,11.61111111,9,0.775119617,-0.367509127,-0.110631272,0.040861221,,,,,,,,
PSME4,58.05555556,45,0.775119617,-0.367509127,-0.110631272,0.041043839,,,,,,,,
FBXL19,32.25,25,0.775193798,-0.367371064,-0.11058971,0.041185927,,,,,,,,
SLC35E4,3.869444444,3,0.775305097,-0.367163944,-0.110527361,0.041354389,,,,,,,,
KIN,9.027777778,7,0.775384615,-0.367015983,-0.11048282,0.041392684,,,,,,,,
ATRX,46.42857143,36,0.775384615,-0.367015983,-0.11048282,0.041447746,,,,,,,,
ALKBH4,24.5,19,0.775510204,-0.366782329,-0.110412483,0.041539431,,,,,,,,
ZBTB43,15.47222222,12,0.775583483,-0.366646013,-0.110371448,0.041644086,,,,,,,,
CCDC22,29.61111111,23,0.77673546,-0.364504763,-0.109726868,0.041812496,,,,,,,,
ZKSCAN4,15.44444444,12,0.776978417,-0.364053569,-0.109591045,0.041856923,,,,,,,,
TOPBP1,127.4166667,99,0.776978417,-0.364053569,-0.109591045,0.042072521,,,,,,,,
PAQR8,12.86111111,10,0.777537797,-0.363015285,-0.10927849,0.042101351,,,,,,,,
ATAD3C,3.858064516,3,0.777591973,-0.362914767,-0.109248231,0.042419315,,,,,,,,
ADCY5,9.837142857,7.65,0.777664827,-0.362779604,-0.109207543,0.04261497,,,,,,,,
ZDBF2,22.49393939,17.5,0.777987337,-0.362181421,-0.109027472,0.042625347,,,,,,,,
CORO7,5.138888889,4,0.778378378,-0.361456458,-0.108809236,0.042856585,,,,,,,,
SLC44A5,29.97058824,23.33333333,0.778541053,-0.361154977,-0.108718482,0.043034632,,,,,,,,
FAT1,41.721875,32.5,0.778967868,-0.360364275,-0.108480457,0.043342821,,,,,,,,
ANKRD13C,31.42857143,24.5,0.779545455,-0.359294946,-0.108158556,0.04335748,,,,,,,,
MIP,0.128125,0.1,0.780487799,-0.357552014,-0.107633882,0.043633796,,,,,,,,
ABCA10,0.896666667,0.7,0.780669144,-0.357216845,-0.107532986,0.043855294,,,,,,,,
CSDE1,546.1714286,426.5,0.780890354,-0.356808102,-0.107409942,0.044340541,,,,,,,,
NHSL1,15.35714286,12,0.781395349,-0.355875425,-0.107129178,0.04441914,,,,,,,,
ZNF345,9.588235294,7.5,0.782208589,-0.354374716,-0.10667742,0.044801105,,,,,,,,
RBM10,118.8888889,93,0.782242991,-0.354311267,-0.10665832,0.045110875,,,,,,,,
RARA,16.61111111,13,0.782608696,-0.353636953,-0.106455331,0.045534145,,,,,,,,
SYNJ1,20.44444444,16,0.782608696,-0.353636953,-0.106455331,0.045809048,,,,,,,,
HEG1,17.88611111,14,0.782730238,-0.353412914,-0.106387889,0.045816414,,,,,,,,
ZFAT,7.235294118,5.666666667,0.783197832,-0.352551322,-0.106128523,0.045843978,,,,,,,,
TBC1D10B,45.31428571,35.5,0.783417402,-0.352146917,-0.106006786,0.045888282,,,,,,,,
EIF3B,158.2777778,124,0.783432783,-0.352118593,-0.105998259,0.046092724,,,,,,,,
EARS2,33.16666667,26,0.783919598,-0.3512224,-0.105728478,0.046180986,,,,,,,,
SELPLG,0.828571429,0.65,0.784482758,-0.350186355,-0.105416597,0.046293988,,,,,,,,
SIL1,20.38888889,16,0.784741144,-0.34971125,-0.105273577,0.046380757,,,,,,,,
TBC1D32,6.817142857,5.35,0.784786253,-0.349628323,-0.105248613,0.0464574,,,,,,,,
LDHC,2.547826087,2,0.784982935,-0.349266802,-0.105139785,0.046512128,,,,,,,,
GTF2H1,26.75,21,0.785046729,-0.349149562,-0.105104492,0.046652021,,,,,,,,
PIGN,8.914285714,7,0.78525641,-0.348764278,-0.10498851,0.046796473,,,,,,,,
TRIM56,15.275,12,0.785597381,-0.348137972,-0.104799973,0.046996562,,,,,,,,
TNNI3K,0.127272727,0.1,0.78571428,-0.347923313,-0.104735354,0.047087874,,,,,,,,
ZNF304,20.36111111,16,0.785811733,-0.347744385,-0.104681491,0.04757479,,,,,,,,
GNA13,94.16666667,74,0.785840708,-0.347691189,-0.104665478,0.047641634,,,,,,,,
POMGNT2,30.52777778,24,0.786169245,-0.347088167,-0.10448395,0.047763473,,,,,,,,
EPPK1,3.496969697,2.75,0.786395147,-0.346673674,-0.104359175,0.047956454,,,,,,,,
LYST,8.9,7,0.786516854,-0.346450412,-0.104291967,0.047986933,,,,,,,,
TAB3,16.52777778,13,0.786554622,-0.346381137,-0.104271113,0.048304677,,,,,,,,
HIVEP1,11.44117647,9,0.786632391,-0.346238501,-0.104228175,0.048615254,,,,,,,,
ALDOB,0.38125,0.3,0.786885244,-0.345774839,-0.104088599,0.048691924,,,,,,,,
TNRC18,40.66666667,32,0.786885246,-0.345774835,-0.104088598,0.048843499,,,,,,,,
KIF19,39.51724138,31.1,0.786998255,-0.345567657,-0.104026231,0.04896263,,,,,,,,
HOXC10,25.41,20,0.787091696,-0.345396374,-0.103974669,0.049178089,,,,,,,,
CDH23,3.9375,3.1,0.787301587,-0.345011707,-0.103858873,0.049290411,,,,,,,,
UNC119,22.86111111,18,0.787363305,-0.344898616,-0.103824829,0.049297353,,,,,,,,
RANBP6,64.72222222,51,0.787982833,-0.343763894,-0.103483244,0.049391775,,,,,,,,
BAK1,27.91666667,22,0.788059701,-0.343623164,-0.10344088,0.04940792,,,,,,,,
USP53,7.611111111,6,0.788321168,-0.343144579,-0.103296812,0.049496918,,,,,,,,
SGSM2,36.77777778,29,0.788519637,-0.342781408,-0.103187486,0.049735029,,,,,,,,
C19orf81,3.803703704,3,0.788704966,-0.342442367,-0.103085425,0.049871516,,,,,,,,
TET2,13.94444444,11,0.788844621,-0.342186932,-0.103008531,0.04991345,,,,,,,,
SPG11,24.08571429,19,0.788849348,-0.342178289,-0.103005929,0.05040567,,,,,,,,
RAB40AL,0.38,0.3,0.789473682,-0.34103692,-0.102662343,0.050545259,,,,,,,,
KIF20B,34.82857143,27.5,0.789581624,-0.340839678,-0.102602967,0.050651001,,,,,,,,
AKIRIN2,101.2857143,80,0.789844852,-0.340358798,-0.102458208,0.050926386,,,,,,,,
CTSF,51.89117647,41,0.79011506,-0.339865333,-0.10230966,0.05115252,,,,,,,,
THAP8,20.25,16,0.790123457,-0.339850001,-0.102305045,0.051152522,,,,,,,,
ARHGAP30,1.897142857,1.5,0.79066265,-0.338865818,-0.102008776,0.05127876,,,,,,,,
WDR72,9.264285714,7.325,0.790670779,-0.338850986,-0.102004311,0.051289632,,,,,,,,
DTX3L,25.77058824,20.4,0.791600091,-0.337156314,-0.101494164,0.051399351,,,,,,,,
CDC5L,74.52777778,59,0.791651137,-0.337063287,-0.10146616,0.051907161,,,,,,,,
DLG3,53.03428571,42,0.791940524,-0.336536008,-0.101307434,0.051923729,,,,,,,,
NAV2,37.87428571,30,0.792094146,-0.336256178,-0.101223196,0.052197756,,,,,,,,
SLC1A5,145.1111111,115,0.792496172,-0.335524127,-0.101002827,0.052239618,,,,,,,,
SPEN,70.65714286,56,0.792559644,-0.335408584,-0.100968045,0.05232126,,,,,,,,
FHOD1,16.38888889,13,0.793220339,-0.334206423,-0.100606159,0.052358136,,,,,,,,
HCCS,63.02777778,50,0.793301014,-0.334059701,-0.100561991,0.052401903,,,,,,,,
PI4KA,60.45714286,48,0.793950851,-0.332878393,-0.100206382,0.05251818,,,,,,,,
FBXO34,47.85714286,38,0.794029851,-0.332734848,-0.10016317,0.05270635,,,,,,,,
WIPF2,35.25,28,0.794326241,-0.332196429,-0.10000109,0.052706351,,,,,,,,
EME1,32.72222222,26,0.794567063,-0.331759102,-0.099869442,0.053630404,,,,,,,,
MCMBP,76.74285714,61,0.794862249,-0.331223233,-0.099708129,0.0537204,,,,,,,,
MDH1,140.8888889,112,0.794952681,-0.331059105,-0.099658721,0.053859408,,,,,,,,
PLXNC1,12.57777778,10,0.795053003,-0.33087705,-0.099603917,0.053969578,,,,,,,,
C9orf72,31.44444444,25,0.795053004,-0.33087705,-0.099603917,0.054178977,,,,,,,,
TSNARE1,22.63888889,18,0.795092025,-0.330806244,-0.099582603,0.054258906,,,,,,,,
COG5,22.63888889,18,0.795092025,-0.330806244,-0.099582603,0.054434438,,,,,,,,
ZNF649,13.203125,10.5,0.795266272,-0.330490107,-0.099487436,0.054558771,,,,,,,,
SUCLA2,23.88888889,19,0.795348837,-0.330340333,-0.09944235,0.054631536,,,,,,,,
ZNF687,35.19444444,28,0.79558011,-0.329920884,-0.099316083,0.054786807,,,,,,,,
CANX,461.1428571,367,0.795848823,-0.329433687,-0.099169422,0.054997408,,,,,,,,
WDR46,76.63888889,61,0.795940558,-0.329267401,-0.099119365,0.055047566,,,,,,,,
ANXA2R,8.794117647,7,0.795986622,-0.329183909,-0.099094231,0.055083684,,,,,,,,
NEURL4,35.8,28.5,0.796089385,-0.328997666,-0.099038167,0.055185679,,,,,,,,
CBLN3,2.511111111,2,0.796460177,-0.328325865,-0.098835934,0.055400482,,,,,,,,
TCF20,62.75,50,0.796812749,-0.327687362,-0.098643726,0.055951405,,,,,,,,
SDC3,41.38888889,33,0.797315436,-0.326777493,-0.098369828,0.05602681,,,,,,,,
TMEM44,27.58333333,22,0.797583082,-0.326293286,-0.098224067,0.056157543,,,,,,,,
SLC25A13,86.44444444,69,0.798200514,-0.325176885,-0.097887997,0.056310114,,,,,,,,
AVPR1B,1.252,1,0.798722044,-0.324234562,-0.097604329,0.057287737,,,,,,,,
PPM1A,36.30555556,29,0.798775822,-0.324137427,-0.097575089,0.057943289,,,,,,,,
NUP93,35.02777778,28,0.799365583,-0.323072635,-0.097254554,0.057991946,,,,,,,,
CDX1,0.125,0.1,0.799999994,-0.321928105,-0.096910016,0.05812984,,,,,,,,
XIRP2,0.25,0.2,0.799999997,-0.321928099,-0.096910015,0.058295011,,,,,,,,
CCDC158,0.75,0.6,0.799999999,-0.321928095,-0.096910014,0.058402869,,,,,,,,
MYO1H,0.75,0.6,0.799999999,-0.321928095,-0.096910014,0.058705657,,,,,,,,
NPAS3,1.25,1,0.799999999,-0.321928094,-0.096910013,0.059027214,,,,,,,,
ZNF449,8.75,7,0.8,-0.321928093,-0.096910013,0.059084579,,,,,,,,
ASCC2,46.22222222,37,0.800480769,-0.321061349,-0.096649097,0.059270412,,,,,,,,
TTC9C,32.47222222,26,0.800684346,-0.320694493,-0.096538662,0.059286417,,,,,,,,
TRUB2,28.72222222,23,0.800773694,-0.320533511,-0.096490202,0.059430486,,,,,,,,
CORO1A,20.6,16.5,0.800970874,-0.320178311,-0.096383276,0.05951784,,,,,,,,
PRMT8,2.492857143,2,0.802292263,-0.317800208,-0.095667396,0.059551354,,,,,,,,
MARK4,24.91666667,20,0.802675585,-0.317111077,-0.095459947,0.059603431,,,,,,,,
ZNF93,11.21142857,9,0.802752294,-0.316973211,-0.095418445,0.059768205,,,,,,,,
GIT2,7.472222222,6,0.802973978,-0.316574859,-0.095298529,0.059809842,,,,,,,,
GALNS,9.961111111,8,0.803123257,-0.316306675,-0.095217798,0.060024213,,,,,,,,
ERGIC2,32.36111111,26,0.803433476,-0.315749518,-0.095050077,0.060064956,,,,,,,,
HSPA1L,4.977777778,4,0.803571428,-0.315501824,-0.094975513,0.060095072,,,,,,,,
ATP2A1,5.6,4.5,0.803571428,-0.315501824,-0.094975513,0.060816466,,,,,,,,
LZTS2,34.83333333,28,0.803827751,-0.315041708,-0.094837004,0.060886543,,,,,,,,
PNPLA8,39.80555556,32,0.803907886,-0.314897891,-0.094793711,0.060999539,,,,,,,,
ENTPD6,60.94444444,49,0.804010939,-0.314712963,-0.094738042,0.061198332,,,,,,,,
PPP2R2C,12.43714286,10,0.804043189,-0.314655096,-0.094720623,0.061452479,,,,,,,,
ZRANB2,151.7222222,122,0.804101062,-0.314551258,-0.094689364,0.061514054,,,,,,,,
USP6NL,8.685714286,7,0.805921053,-0.311289573,-0.093707499,0.061572301,,,,,,,,
SLC10A4,9.919444444,8,0.80649678,-0.310259321,-0.093397362,0.061656901,,,,,,,,
ONECUT1,2.479411765,2,0.806642942,-0.309997884,-0.093318662,0.061656901,,,,,,,,
TBRG4,68.17142857,55,0.806789606,-0.309735595,-0.093239705,0.061722047,,,,,,,,
EMC9,58.25,47,0.806866953,-0.309597291,-0.093198072,0.061805754,,,,,,,,
USP25,13.62777778,11,0.807174888,-0.309046802,-0.093032358,0.061912234,,,,,,,,
COL4A2,7.617857143,6.15,0.807313643,-0.308798821,-0.092957708,0.06207653,,,,,,,,
ATP8B4,0.68125,0.55,0.807339448,-0.308752706,-0.092943826,0.062147904,,,,,,,,
ANKRD13B,53.85714286,43.5,0.807692308,-0.308122294,-0.092754053,0.062460654,,,,,,,,
EDEM3,46.4,37.5,0.808189655,-0.307234208,-0.092486713,0.062744875,,,,,,,,
PHF20,44.52777778,36,0.808484092,-0.306708706,-0.092328521,0.063005349,,,,,,,,
KRT12,0.247368421,0.2,0.808510635,-0.306661342,-0.092314263,0.063342665,,,,,,,,
ACVR1B,40.80555556,33,0.80871341,-0.306299558,-0.092205355,0.063690147,,,,,,,,
VGF,71.66571429,58,0.809313081,-0.30523018,-0.09188344,0.063864488,,,,,,,,
NCBP1,96.27777778,78,0.810155799,-0.303728717,-0.091431455,0.064240896,,,,,,,,
ZNF496,39.47222222,32,0.810696692,-0.302765836,-0.091141599,0.064683828,,,,,,,,
TUBG2,39.44444444,32,0.811267606,-0.301750211,-0.090835865,0.064711034,,,,,,,,
TMEM79,13.55555556,11,0.81147541,-0.301380716,-0.090724636,0.065085259,,,,,,,,
LIPT2,8.611111111,7,0.812903226,-0.29884448,-0.089961153,0.065453652,,,,,,,,
EPN2,17.22222222,14,0.812903226,-0.29884448,-0.089961153,0.065831211,,,,,,,,
NPAT,25.83333333,21,0.812903226,-0.29884448,-0.089961153,0.066386614,,,,,,,,
TYW1,30.75,25,0.81300813,-0.298658314,-0.089905111,0.066592119,,,,,,,,
DCLRE1B,36.88888889,30,0.813253012,-0.298223833,-0.08977432,0.066695534,,,,,,,,
HPD,0.614705882,0.5,0.813397128,-0.297968197,-0.089697365,0.066883217,,,,,,,,
PPRC1,52.86111111,43,0.813452443,-0.297870088,-0.089667832,0.066946789,,,,,,,,
PRDM9,0.45,0.366666667,0.814814813,-0.295455885,-0.088941084,0.06694679,,,,,,,,
AP4B1,18.38888889,15,0.81570997,-0.293871808,-0.08846423,0.067563157,,,,,,,,
RASA4,0.24516129,0.2,0.81578947,-0.293731207,-0.088421905,0.067671218,,,,,,,,
ERCC3,47.80555556,39,0.815804765,-0.29370416,-0.088413763,0.067751784,,,,,,,,
ZNF442,1.225,1,0.81632653,-0.292781749,-0.088136089,0.06784904,,,,,,,,
DDX28,28.16666667,23,0.816568047,-0.292354978,-0.088007618,0.068083687,,,,,,,,
STK31,0.611764706,0.5,0.817307691,-0.291048783,-0.087614414,0.068235498,,,,,,,,
CDCA5,152.2857143,124.5,0.817542214,-0.290634867,-0.087489813,0.068457378,,,,,,,,
EIF3J,111.3055556,91,0.817569254,-0.290587151,-0.087475449,0.068810609,,,,,,,,
CNTRL,28.74285714,23.5,0.817594433,-0.290542719,-0.087462074,0.068893997,,,,,,,,
E2F7,49.73529412,40.66666667,0.817662133,-0.290423265,-0.087426115,0.069272957,,,,,,,,
MYO1C,57.47222222,47,0.81778637,-0.290204075,-0.087360132,0.069428479,,,,,,,,
SZT2,12.83870968,10.5,0.817839196,-0.290110886,-0.087332079,0.069765279,,,,,,,,
EXOC6,17.11428571,14,0.81803005,-0.289774252,-0.087230742,0.069817527,,,,,,,,
LRRC71,1.1,0.9,0.818181817,-0.289506617,-0.087150176,0.070076538,,,,,,,,
TRAPPC5,1.222222222,1,0.818181818,-0.289506617,-0.087150176,0.070083696,,,,,,,,
DNASE1,11,9,0.818181818,-0.289506616,-0.087150176,0.070776879,,,,,,,,
GLTP,45.22222222,37,0.818181818,-0.289506615,-0.087150176,0.071286516,,,,,,,,
PROX1,58.66,48,0.818274804,-0.289342664,-0.087100821,0.071646828,,,,,,,,
TTF1,48.86111111,40,0.818646958,-0.288686669,-0.086903347,0.072105856,,,,,,,,
RUVBL1,92.83333333,76,0.818671454,-0.288643501,-0.086890353,0.072206126,,,,,,,,
UBR3,37.86111111,31,0.818782098,-0.288448533,-0.086831661,0.072311723,,,,,,,,
IER5L,6.105555556,5,0.818926296,-0.288194478,-0.086755183,0.072848775,,,,,,,,
SLC33A1,8.542857143,7,0.819397993,-0.287363734,-0.086505104,0.073090059,,,,,,,,
ESCO2,17.08571429,14,0.819397993,-0.287363734,-0.086505104,0.073152502,,,,,,,,
AP3B2,31.72777778,26,0.819471196,-0.287234853,-0.086466307,0.073322616,,,,,,,,
CTNNB1,81.75,67,0.819571865,-0.287057633,-0.086412959,0.073428917,,,,,,,,
GTF2H2C,1.22,1,0.81967213,-0.286881147,-0.086359831,0.073461387,,,,,,,,
CCNE2,52.44444444,43,0.819915254,-0.286453291,-0.086231034,0.074354291,,,,,,,,
XPO7,113.4166667,93,0.819985305,-0.286330038,-0.086193931,0.074382363,,,,,,,,
KIAA0319L,34.14285714,28,0.820083682,-0.286156962,-0.08614183,0.074599348,,,,,,,,
CDS2,35.36111111,29,0.820109976,-0.286110706,-0.086127905,0.074614231,,,,,,,,
ZYG11B,30.47222222,25,0.820419325,-0.285566617,-0.085964118,0.074617951,,,,,,,,
WWOX,17.05833333,14,0.820713239,-0.285049868,-0.085808561,0.075220259,,,,,,,,
SERTAD2,25.58333333,21,0.820846906,-0.28481492,-0.085737835,0.075301116,,,,,,,,
GPD2,65.75,54,0.821292776,-0.284031485,-0.085501997,0.075389065,,,,,,,,
CATSPERB,0.486956522,0.4,0.82142857,-0.283792967,-0.085430196,0.075577122,,,,,,,,
CPSF1,118.0833333,97,0.821453776,-0.283748698,-0.08541687,0.075976106,,,,,,,,
DMXL2,37.32352941,30.66666667,0.821644339,-0.283414056,-0.085316132,0.075976106,,,,,,,,
AK3,70.58333333,58,0.821723731,-0.283274662,-0.085274171,0.075976106,,,,,,,,
FSD1,59.62777778,49,0.821764651,-0.28320282,-0.085252544,0.076090169,,,,,,,,
ATP10D,10.98125,9.025,0.821855435,-0.283043447,-0.085204568,0.076512789,,,,,,,,
VPS13B,19.87096774,16.33333333,0.821969697,-0.282842885,-0.085144193,0.076814075,,,,,,,,
SLC9A7,19.44444444,16,0.822857143,-0.281286109,-0.084675557,0.07699336,,,,,,,,
ZNF672,53.47222222,44,0.822857143,-0.281286109,-0.084675557,0.077175263,,,,,,,,
ZNF708,23.69428571,19.5,0.822983239,-0.281065045,-0.08460901,0.077182986,,,,,,,,
MPND,26.72222222,22,0.823284823,-0.280536462,-0.08444989,0.077260715,,,,,,,,
SAMHD1,20.63888889,17,0.823687752,-0.279830556,-0.084237392,0.07751077,,,,,,,,
CENPQ,40.05555556,33,0.823855756,-0.279536327,-0.08414882,0.077514087,,,,,,,,
ACTN4,236.4722222,195,0.824621168,-0.278196598,-0.083745521,0.077600947,,,,,,,,
SORT1,83.63888889,69,0.824975091,-0.277577533,-0.083559164,0.077736005,,,,,,,,
LMNB2,269.0555556,222,0.825108404,-0.277344418,-0.083488989,0.07792003,,,,,,,,
LHX2,32.72222222,27,0.825127334,-0.277311319,-0.083479026,0.078148441,,,,,,,,
ZNF461,9.694444444,8,0.8252149,-0.277158223,-0.083432939,0.078248282,,,,,,,,
MPHOSPH8,58.16666667,48,0.8252149,-0.277158223,-0.083432939,0.078439496,,,,,,,,
DBF4,50.83333333,42,0.826229508,-0.275385507,-0.082899299,0.078602572,,,,,,,,
SMARCC2,83.44444444,69,0.82689747,-0.274219638,-0.082548337,0.078779308,,,,,,,,
HHAT,6.044444444,5,0.827205882,-0.273681649,-0.082386386,0.078805396,,,,,,,,
ACTRT1,0.241666667,0.2,0.827586203,-0.273018499,-0.082186758,0.079181246,,,,,,,,
TBC1D24,14.5,12,0.827586207,-0.273018493,-0.082186756,0.079905674,,,,,,,,
FIBP,74.91666667,62,0.827586207,-0.273018493,-0.082186756,0.080175055,,,,,,,,
ZDHHC9,37.44444444,31,0.827893175,-0.272483468,-0.082025698,0.080416793,,,,,,,,
TSPAN8,18.29411765,15.15,0.828135048,-0.272062039,-0.081898835,0.080631312,,,,,,,,
TTC7A,15.69444444,13,0.828318584,-0.271742336,-0.081802595,0.080763377,,,,,,,,
SCAF8,55.52777778,46,0.828414207,-0.271575798,-0.081752462,0.080821589,,,,,,,,
KCNN4,4.827777778,4,0.82853855,-0.271359269,-0.08168728,0.080950269,,,,,,,,
HPS3,24.13888889,20,0.82853855,-0.271359269,-0.08168728,0.080985723,,,,,,,,
KLHL12,97.75,81,0.828644501,-0.271174793,-0.081631747,0.081190322,,,,,,,,
CDK5RAP2,76.60606061,63.5,0.828916139,-0.27070194,-0.081489404,0.081281597,,,,,,,,
SETD1A,42.22222222,35,0.828947368,-0.270647588,-0.081473043,0.08160072,,,,,,,,
NUP205,154.3714286,128,0.82916898,-0.270261948,-0.081356954,0.081821342,,,,,,,,
TRIM3,16.86111111,14,0.830313015,-0.268272781,-0.080758155,0.082086237,,,,,,,,
FAM172A,33.69722222,28,0.830929025,-0.267202841,-0.080436071,0.082201307,,,,,,,,
PCLO,19.4516129,16.16666667,0.831122167,-0.266867538,-0.080335134,0.082294481,,,,,,,,
TOP3A,55.73529412,46.33333333,0.831310466,-0.266540718,-0.080236752,0.082572297,,,,,,,,
WBP1L,12.02777778,10,0.831408776,-0.266370117,-0.080185396,0.082777908,,,,,,,,
ANLN,97.97142857,81.5,0.831875182,-0.265561016,-0.079941832,0.083609633,,,,,,,,
ATP7B,13.22222222,11,0.831932773,-0.265461142,-0.079911767,0.083658548,,,,,,,,
MAGED1,152.5428571,127,0.832552913,-0.264386128,-0.079588156,0.084245962,,,,,,,,
CEP152,39.02857143,32.5,0.83272328,-0.264090937,-0.079499294,0.085010789,,,,,,,,
FUT8,28.41764706,23.66666667,0.832815842,-0.263930581,-0.079451022,0.08501079,,,,,,,,
LILRB2,0.12,0.1,0.833333326,-0.263034416,-0.07918125,0.085064884,,,,,,,,
PLVAP,0.12,0.1,0.833333326,-0.263034416,-0.07918125,0.085218728,,,,,,,,
PTPRR,1.2,1,0.833333333,-0.263034405,-0.079181246,0.085430193,,,,,,,,
GDPGP1,1.2,1,0.833333333,-0.263034405,-0.079181246,0.085452281,,,,,,,,
RFX3,22.8,19,0.833333333,-0.263034404,-0.079181246,0.085811825,,,,,,,,
DYNC1LI2,97.11111111,81,0.83409611,-0.261714463,-0.078783904,0.086196783,,,,,,,,
AOC2,5.994444444,5,0.834105653,-0.261697957,-0.078778935,0.086743455,,,,,,,,
PCYOX1,52.75,44,0.834123223,-0.261667568,-0.078769787,0.08676369,,,,,,,,
GALNTL6,1.078571429,0.9,0.834437085,-0.261124815,-0.078606403,0.086950585,,,,,,,,
ALG3,53.91666667,45,0.834621329,-0.260806303,-0.078510521,0.08710474,,,,,,,,
AMDHD2,9.583333333,8,0.834782609,-0.260527549,-0.078426607,0.08711188,,,,,,,,
GANAB,525.7714286,439,0.834963591,-0.260214804,-0.078332462,0.087215834,,,,,,,,
NMD3,55.08333333,46,0.835098336,-0.259982003,-0.078262382,0.087669356,,,,,,,,
INSC,1.196666667,1,0.835654595,-0.259021343,-0.077973194,0.088208477,,,,,,,,
RBM12,93.88571429,78.5,0.836122946,-0.258212997,-0.077729858,0.088274681,,,,,,,,
LMBR1L,21.52777778,18,0.836129032,-0.258202496,-0.077726697,0.088492664,,,,,,,,
KDM5B,25.11111111,21,0.836283186,-0.257936537,-0.077646635,0.088941083,,,,,,,,
PRKACA,59.77777778,50,0.836431227,-0.25768117,-0.077569762,0.088977473,,,,,,,,
UNK,47.80555556,40,0.836722836,-0.257178284,-0.077418378,0.089041813,,,,,,,,
HDAC10,2.388888889,2,0.837209302,-0.256339752,-0.077165955,0.089249641,,,,,,,,
ZNF674,3.583333333,3,0.837209302,-0.256339752,-0.077165955,0.090292242,,,,,,,,
CNNM2,5.972222222,5,0.837209302,-0.256339752,-0.077165955,0.090707228,,,,,,,,
ST6GAL2,13.88965517,11.63333333,0.83755379,-0.255746246,-0.076987292,0.09099642,,,,,,,,
GPR37L1,0.596875,0.5,0.837696334,-0.255500734,-0.076913385,0.091167605,,,,,,,,
ARAP1,33.41666667,28,0.837905237,-0.255141002,-0.076805095,0.091244729,,,,,,,,
FBXL6,29.83333333,25,0.837988827,-0.254997085,-0.076761772,0.091269746,,,,,,,,
SCN5A,2.385714286,2,0.838323353,-0.254421274,-0.076588436,0.091269746,,,,,,,,
CAPZA2,52.47222222,44,0.838538909,-0.254050365,-0.076476781,0.091606643,,,,,,,,
BUB3,126.9428571,106.5,0.838960162,-0.253325787,-0.076258661,0.092089825,,,,,,,,
MOCOS,3.694285714,3.1,0.839133797,-0.253027231,-0.076168787,0.092500894,,,,,,,,
CCDC88C,32.17222222,27,0.839233293,-0.252856181,-0.076117296,0.092500894,,,,,,,,
XPO6,107.1944444,90,0.83959575,-0.252233229,-0.075929768,0.093156364,,,,,,,,
SLCO5A1,16.07878788,13.5,0.83961553,-0.252199242,-0.075919537,0.093681873,,,,,,,,
AGBL2,2.203030303,1.85,0.839752407,-0.251964068,-0.075848743,0.093880369,,,,,,,,
SETD1B,29.17142857,24.5,0.83986288,-0.251774288,-0.075791613,0.093904503,,,,,,,,
CTRL,0.119047619,0.1,0.839999993,-0.251538777,-0.075720718,0.094579607,,,,,,,,
NCR3,0.119047619,0.1,0.839999993,-0.251538777,-0.075720718,0.094714754,,,,,,,,
TMEM213,0.238095238,0.2,0.839999996,-0.251538771,-0.075720716,0.0947611,,,,,,,,
BCAR3,8.333333333,7,0.84,-0.251538765,-0.075720714,0.095339326,,,,,,,,
ZNF527,8.333333333,7,0.84,-0.251538765,-0.075720714,0.09566993,,,,,,,,
